Brand,Parent Company,Feb_7_price,Feb_14_price,Percentage Change Pos,Type of Change,Percent Change Neg
Novartis,Novartis AG,$106.26,$105.43,0,Negative,0.78
Homes.com,CoStar Group,$77.25,$74.06,0,Negative,4.16
Meta,Meta Platforms Inc.,$714.52,$736.67,3.1,Positive,0
Tubi,Fox Corporation,$50.10,$52.39,4.57,Positive,0
Taco Bell,Yum! Brands Inc.,$143.56,$147.91,3.02,Positive,0
Doritos,PepsiCo Inc.,$144.58,$143.39,0,Negative,0.83
Mountain Dew,PepsiCo Inc.,$144.58,$143.39,0,Negative,0.83
Jeep,Stellantis N.V.,$12.94,$14.05,8.58,Positive,0
Stella Artois,Anheuser-Busch InBev,$50.30,$53.12,5.61,Positive,0
Coffee mate,Nestlé S.A.,$85.00,$91.00,7.06,Positive,0
Pringles,Kellogg Company,$16.48,$19.76,20.59,Positive,0
Reese's,The Hershey Company,$154.93,$157.88,1.9,Positive,0
Duracell,Berkshire Hathaway,$472.74,$479.59,1.45,Positive,0
Coors Light,Molson Coors Beverage,$54.26,$60.36,11.21,Positive,0
Uber Eats,Uber Technologies Inc.,$74.60,$79.42,6.46,Positive,0
Dove,Unilever PLC,$58.27,$54.89,0,Negative,5.83
Booking.com,Booking Holdings Inc.,"$4,887.47","$5,044.40",3.21,Positive,0
Ram,Stellantis N.V.,$12.94,$14.05,8.58,Positive,0
Budweiser,Anheuser-Busch InBev,$50.30,$53.12,5.61,Positive,0
Hellmann's,Unilever PLC,$58.27,$54.89,0,Negative,5.83
Disney,The Walt Disney Company,$110.86,$110.38,0,Negative,0.43
Bud Light,Anheuser-Busch InBev,$50.30,$53.12,5.61,Positive,0
Ritz,Mondelez International,$58.45,$60.82,4.05,Positive,0
Hims & Hers,Hims & Hers Health Inc.,$42.44,$60.47,42.55,Positive,0
Michelob Ultra,Anheuser-Busch InBev,$50.30,$53.12,5.61,Positive,0
Skechers,Skechers U.S.A. Inc.,$66.03,$64.10,0,Negative,2.92
TurboTax,Intuit Inc.,$578.85,587.38,1.47,Positive,0
FanDuel,Flutter Entertainment,$268.54,$298.81,11.3,Positive,0
DoorDash,DoorDash Inc.,$195.54,$213.38,9.13,Positive,0
Lays,PepsiCo Inc.,$144.58,$143.39,0,Negative,0.83
NerdWallet,NerdWallet Inc.,$13.99,13.92,0,Negative,0.5
GoDaddy,Godaddy Inc.,211.4,182.19,0,Negative,13.81
Busch Light,Anheuser-Busch InBev,50.3,53.12,5.61,Positive,0
Nike,Nike Inc.,68.68,73.04,6.32,Positive,0
Google,Alphabet Inc.,187.14,186.87,0,Negative,0.14
